experiment_id,scope,model_id,num_groups,num_games_covered,coverage_pct,avg_group_size,min_group_size,max_group_size
Comb_List_SpecifyEx_T1_00654f,model,gpt-5.4-nano-2026-03-17,3,6,14.3,2.0,2,2
Comb_List_SpecifyEx_T1_00654f,model,models/gemini-2.5-flash,7,17,40.5,2.43,2,3
Comb_List_SpecifyEx_T1_00654f,model,models/gemini-2.5-flash-lite,7,16,38.1,2.29,2,4
Comb_List_SpecifyEx_T1_00654f,model,models/gemini-2.5-pro,8,22,52.4,2.75,2,4
Comb_List_SpecifyExCats_T1_00654f,model,claude-haiku-4-5-20251001,8,28,66.7,3.5,2,6
Comb_List_SpecifyExCats_T1_00654f,model,claude-opus-4-6,8,33,78.6,4.12,2,7
Comb_List_SpecifyExCats_T1_00654f,model,claude-sonnet-4-6,6,30,71.4,5.0,2,8
Comb_List_SpecifyExCats_T1_00654f,model,gpt-5.4-2026-03-05,3,19,45.2,6.33,2,11
Comb_List_SpecifyExCats_T1_00654f,model,gpt-5.4-mini-2026-03-17,5,19,45.2,3.8,2,7
Comb_List_SpecifyExCats_T1_00654f,model,gpt-5.4-nano-2026-03-17,6,26,61.9,4.33,2,11
Comb_List_SpecifyExCats_T1_00654f,model,models/gemini-2.5-flash,11,29,69.0,2.64,2,5
Comb_List_SpecifyExCats_T1_00654f,model,models/gemini-2.5-flash-lite,5,19,45.2,3.8,3,5
Comb_List_SpecifyExCats_T1_00654f,model,models/gemini-2.5-pro,9,28,66.7,3.11,2,5
Comb_List_SpecifyExCats_T1_00654f,experiment,all,1,2,4.8,2.0,2,2
Comb_Rules_SpecifyExCats_T1_247684,model,claude-haiku-4-5-20251001,5,25,59.5,5.0,2,8
Comb_Rules_SpecifyExCats_T1_247684,model,claude-opus-4-6,7,38,90.5,5.43,2,10
Comb_Rules_SpecifyExCats_T1_247684,model,claude-sonnet-4-6,7,30,71.4,4.29,2,8
Comb_Rules_SpecifyExCats_T1_247684,model,gpt-5.4-2026-03-05,5,30,71.4,6.0,3,11
Comb_Rules_SpecifyExCats_T1_247684,model,gpt-5.4-mini-2026-03-17,8,31,73.8,3.87,2,9
Comb_Rules_SpecifyExCats_T1_247684,model,gpt-5.4-nano-2026-03-17,6,19,45.2,3.17,2,7
Comb_Rules_SpecifyExCats_T1_247684,model,models/gemini-2.5-flash,9,33,78.6,3.67,2,7
Comb_Rules_SpecifyExCats_T1_247684,model,models/gemini-2.5-flash-lite,6,23,54.8,3.83,2,7
Comb_Rules_SpecifyExCats_T1_247684,model,models/gemini-2.5-pro,8,34,81.0,4.25,2,7
Comb_Rules_SpecifyExCats_T1_247684,experiment,all,2,5,11.9,2.5,2,3
Comb_Rules_Basic_T0_247684,model,claude-haiku-4-5-20251001,8,26,61.9,3.25,2,5
Comb_Rules_Basic_T0_247684,model,claude-haiku-4-5-20251001,8,26,61.9,3.25,2,5
Comb_Rules_Basic_T0_247684,model,claude-opus-4-6,7,19,45.2,2.71,2,5
Comb_Rules_Basic_T0_247684,model,claude-opus-4-6,7,19,45.2,2.71,2,5
Comb_Rules_Basic_T0_247684,model,claude-sonnet-4-6,7,17,40.5,2.43,2,3
Comb_Rules_Basic_T0_247684,model,claude-sonnet-4-6,7,17,40.5,2.43,2,3
Comb_Rules_Basic_T0_247684,model,gpt-5.4-2026-03-05,2,5,11.9,2.5,2,3
Comb_Rules_Basic_T0_247684,model,gpt-5.4-2026-03-05,7,19,45.2,2.71,2,4
Comb_Rules_Basic_T0_247684,model,gpt-5.4-mini-2026-03-17,5,12,28.6,2.4,2,3
Comb_Rules_Basic_T0_247684,model,gpt-5.4-mini-2026-03-17,5,12,28.6,2.4,2,3
Comb_Rules_Basic_T0_247684,model,gpt-5.4-nano-2026-03-17,4,13,31.0,3.25,2,5
Comb_Rules_Basic_T0_247684,model,gpt-5.4-nano-2026-03-17,4,13,31.0,3.25,2,5
Comb_Rules_Basic_T0_247684,model,models/gemini-2.5-flash,5,15,35.7,3.0,2,6
Comb_Rules_Basic_T0_247684,model,models/gemini-2.5-flash,5,15,35.7,3.0,2,6
Comb_Rules_Basic_T0_247684,model,models/gemini-2.5-flash-lite,3,35,83.3,11.67,7,14
Comb_Rules_Basic_T0_247684,model,models/gemini-2.5-flash-lite,3,35,83.3,11.67,7,14
Comb_Rules_Basic_T0_247684,model,models/gemini-2.5-pro,9,26,61.9,2.89,2,7
Comb_Rules_Basic_T0_247684,model,models/gemini-2.5-pro,9,26,61.9,2.89,2,7
Comb_Rules_Basic_T1_247684,model,claude-haiku-4-5-20251001,7,16,38.1,2.29,2,3
Comb_Rules_Basic_T1_247684,model,claude-haiku-4-5-20251001,7,16,38.1,2.29,2,3
Comb_Rules_Basic_T1_247684,model,claude-opus-4-6,8,23,54.8,2.88,2,5
Comb_Rules_Basic_T1_247684,model,claude-opus-4-6,8,23,54.8,2.88,2,5
Comb_Rules_Basic_T1_247684,model,claude-sonnet-4-6,7,17,40.5,2.43,2,3
Comb_Rules_Basic_T1_247684,model,claude-sonnet-4-6,7,17,40.5,2.43,2,3
Comb_Rules_Basic_T1_247684,model,gpt-5.4-2026-03-05,3,12,28.6,4.0,2,6
Comb_Rules_Basic_T1_247684,model,gpt-5.4-2026-03-05,5,16,38.1,3.2,2,6
Comb_Rules_Basic_T1_247684,model,gpt-5.4-mini-2026-03-17,7,18,42.9,2.57,2,4
Comb_Rules_Basic_T1_247684,model,gpt-5.4-mini-2026-03-17,7,18,42.9,2.57,2,4
Comb_Rules_Basic_T1_247684,model,gpt-5.4-nano-2026-03-17,5,22,52.4,4.4,2,7
Comb_Rules_Basic_T1_247684,model,gpt-5.4-nano-2026-03-17,5,22,52.4,4.4,2,7
Comb_Rules_Basic_T1_247684,model,models/gemini-2.5-flash,8,18,42.9,2.25,2,3
Comb_Rules_Basic_T1_247684,model,models/gemini-2.5-flash,8,18,42.9,2.25,2,3
Comb_Rules_Basic_T1_247684,model,models/gemini-2.5-flash-lite,1,3,7.1,3.0,3,3
Comb_Rules_Basic_T1_247684,model,models/gemini-2.5-flash-lite,1,3,7.1,3.0,3,3
Comb_Rules_Basic_T1_247684,model,models/gemini-2.5-pro,8,24,57.1,3.0,2,6
Comb_Rules_Basic_T1_247684,model,models/gemini-2.5-pro,8,24,57.1,3.0,2,6
Comb_Rules_SpecifyEx_T0_247684,model,claude-haiku-4-5-20251001,7,31,73.8,4.43,2,8
Comb_Rules_SpecifyEx_T0_247684,model,claude-haiku-4-5-20251001,4,20,47.6,5.0,2,8
Comb_Rules_SpecifyEx_T0_247684,model,claude-opus-4-6,5,15,35.7,3.0,2,7
Comb_Rules_SpecifyEx_T0_247684,model,claude-opus-4-6,6,23,54.8,3.83,2,7
Comb_Rules_SpecifyEx_T0_247684,model,claude-sonnet-4-6,5,10,23.8,2.0,2,2
Comb_Rules_SpecifyEx_T0_247684,model,claude-sonnet-4-6,2,4,9.5,2.0,2,2
Comb_Rules_SpecifyEx_T0_247684,model,gpt-5.4-mini-2026-03-17,6,35,83.3,5.83,2,12
Comb_Rules_SpecifyEx_T0_247684,model,gpt-5.4-mini-2026-03-17,6,35,83.3,5.83,2,12
Comb_Rules_SpecifyEx_T0_247684,model,models/gemini-2.5-flash,4,18,42.9,4.5,2,8
Comb_Rules_SpecifyEx_T0_247684,model,models/gemini-2.5-flash,4,18,42.9,4.5,2,8
Comb_Rules_SpecifyEx_T0_247684,model,models/gemini-2.5-flash-lite,7,39,92.9,5.57,2,12
Comb_Rules_SpecifyEx_T0_247684,model,models/gemini-2.5-flash-lite,7,39,92.9,5.57,2,12
Comb_Rules_SpecifyEx_T0_247684,model,models/gemini-2.5-pro,8,33,78.6,4.13,2,9
Comb_Rules_SpecifyEx_T0_247684,model,models/gemini-2.5-pro,8,33,78.6,4.12,2,9
Comb_List_SpecifyEx_T0_00654f,model,claude-haiku-4-5-20251001,8,24,57.1,3.0,2,6
Comb_List_SpecifyEx_T0_00654f,model,claude-haiku-4-5-20251001,8,24,57.1,3.0,2,6
Comb_List_SpecifyEx_T0_00654f,model,claude-opus-4-6,5,23,54.8,4.6,2,9
Comb_List_SpecifyEx_T0_00654f,model,claude-opus-4-6,5,23,54.8,4.6,2,9
Comb_List_SpecifyEx_T0_00654f,model,claude-sonnet-4-6,6,25,59.5,4.17,2,6
Comb_List_SpecifyEx_T0_00654f,model,claude-sonnet-4-6,6,25,59.5,4.17,2,6
Comb_List_SpecifyEx_T0_00654f,model,gpt-5.4-2026-03-05,3,11,26.2,3.67,2,5
Comb_List_SpecifyEx_T0_00654f,model,gpt-5.4-2026-03-05,3,11,26.2,3.67,2,5
Comb_List_SpecifyEx_T0_00654f,model,gpt-5.4-mini-2026-03-17,4,31,73.8,7.75,2,10
Comb_List_SpecifyEx_T0_00654f,model,gpt-5.4-mini-2026-03-17,4,31,73.8,7.75,2,10
Comb_List_SpecifyEx_T0_00654f,model,gpt-5.4-nano-2026-03-17,6,25,59.5,4.17,2,9
Comb_List_SpecifyEx_T0_00654f,model,gpt-5.4-nano-2026-03-17,6,25,59.5,4.17,2,9
Comb_List_SpecifyEx_T0_00654f,model,models/gemini-2.5-flash,13,35,83.3,2.69,2,5
Comb_List_SpecifyEx_T0_00654f,model,models/gemini-2.5-flash,13,35,83.3,2.69,2,5
Comb_List_SpecifyEx_T0_00654f,model,models/gemini-2.5-flash-lite,9,39,92.9,4.33,2,7
Comb_List_SpecifyEx_T0_00654f,model,models/gemini-2.5-flash-lite,9,39,92.9,4.33,2,7
Comb_List_SpecifyEx_T0_00654f,model,models/gemini-2.5-pro,6,19,45.2,3.17,2,4
Comb_List_SpecifyEx_T0_00654f,model,models/gemini-2.5-pro,6,19,45.2,3.17,2,4
Comb_List_SpecifyEx_T0_00654f,experiment,all,2,4,9.5,2.0,2,2
Comb_List_SpecifyEx_T0_00654f,experiment,all,2,4,9.5,2.0,2,2
Comb_List_SpecifyExCats_T0_00654f,model,claude-haiku-4-5-20251001,7,42,100.0,6.0,2,9
Comb_List_SpecifyExCats_T0_00654f,model,claude-haiku-4-5-20251001,8,37,88.1,4.62,2,9
Comb_List_SpecifyExCats_T0_00654f,model,claude-opus-4-6,8,30,71.4,3.75,2,6
Comb_List_SpecifyExCats_T0_00654f,model,claude-opus-4-6,4,19,45.2,4.75,4,6
Comb_List_SpecifyExCats_T0_00654f,model,claude-sonnet-4-6,6,26,61.9,4.33,2,5
Comb_List_SpecifyExCats_T0_00654f,model,claude-sonnet-4-6,6,31,73.8,5.17,2,9
Comb_List_SpecifyExCats_T0_00654f,model,gpt-5.4-2026-03-05,4,25,59.5,6.25,3,9
Comb_List_SpecifyExCats_T0_00654f,model,gpt-5.4-2026-03-05,4,25,59.5,6.25,3,9
Comb_List_SpecifyExCats_T0_00654f,model,gpt-5.4-mini-2026-03-17,7,33,78.6,4.71,2,10
Comb_List_SpecifyExCats_T0_00654f,model,gpt-5.4-mini-2026-03-17,7,33,78.6,4.71,2,10
Comb_List_SpecifyExCats_T0_00654f,model,gpt-5.4-nano-2026-03-17,5,25,59.5,5.0,2,13
Comb_List_SpecifyExCats_T0_00654f,model,gpt-5.4-nano-2026-03-17,5,25,59.5,5.0,2,13
Comb_List_SpecifyExCats_T0_00654f,model,models/gemini-2.5-flash,11,35,83.3,3.18,2,6
Comb_List_SpecifyExCats_T0_00654f,model,models/gemini-2.5-flash,11,35,83.3,3.18,2,6
Comb_List_SpecifyExCats_T0_00654f,model,models/gemini-2.5-flash-lite,7,42,100.0,6.0,4,9
Comb_List_SpecifyExCats_T0_00654f,model,models/gemini-2.5-flash-lite,7,42,100.0,6.0,4,9
Comb_List_SpecifyExCats_T0_00654f,model,models/gemini-2.5-pro,10,27,64.3,2.7,2,5
Comb_List_SpecifyExCats_T0_00654f,model,models/gemini-2.5-pro,10,27,64.3,2.7,2,5
Comb_List_SpecifyExCats_T0_00654f,experiment,all,1,4,9.5,4.0,4,4
Comb_List_SpecifyExCats_T0_00654f,experiment,all,1,4,9.5,4.0,4,4
Comb_Rules_SpecifyExCats_T0_247684,model,claude-haiku-4-5-20251001,8,40,95.2,5.0,2,9
Comb_Rules_SpecifyExCats_T0_247684,model,claude-haiku-4-5-20251001,8,40,95.2,5.0,2,9
Comb_Rules_SpecifyExCats_T0_247684,model,claude-opus-4-6,7,38,90.5,5.43,3,9
Comb_Rules_SpecifyExCats_T0_247684,model,claude-opus-4-6,7,38,90.5,5.43,3,9
Comb_Rules_SpecifyExCats_T0_247684,model,claude-sonnet-4-6,8,35,83.3,4.38,2,8
Comb_Rules_SpecifyExCats_T0_247684,model,claude-sonnet-4-6,8,35,83.3,4.38,2,8
Comb_Rules_SpecifyExCats_T0_247684,model,gpt-5.4-2026-03-05,6,35,83.3,5.83,3,12
Comb_Rules_SpecifyExCats_T0_247684,model,gpt-5.4-2026-03-05,6,35,83.3,5.83,3,12
Comb_Rules_SpecifyExCats_T0_247684,model,gpt-5.4-mini-2026-03-17,5,32,76.2,6.4,2,11
Comb_Rules_SpecifyExCats_T0_247684,model,gpt-5.4-mini-2026-03-17,5,32,76.2,6.4,2,11
Comb_Rules_SpecifyExCats_T0_247684,model,gpt-5.4-nano-2026-03-17,7,34,81.0,4.86,2,12
Comb_Rules_SpecifyExCats_T0_247684,model,gpt-5.4-nano-2026-03-17,7,34,81.0,4.86,2,12
Comb_Rules_SpecifyExCats_T0_247684,model,models/gemini-2.5-flash,9,38,90.5,4.22,2,11
Comb_Rules_SpecifyExCats_T0_247684,model,models/gemini-2.5-flash,7,28,66.7,4.0,2,8
Comb_Rules_SpecifyExCats_T0_247684,model,models/gemini-2.5-flash-lite,6,41,97.6,6.83,2,19
Comb_Rules_SpecifyExCats_T0_247684,model,models/gemini-2.5-flash-lite,6,41,97.6,6.83,2,19
Comb_Rules_SpecifyExCats_T0_247684,model,models/gemini-2.5-pro,9,40,95.2,4.44,2,9
Comb_Rules_SpecifyExCats_T0_247684,model,models/gemini-2.5-pro,9,40,95.2,4.44,2,9
Comb_Rules_SpecifyExCats_T0_247684,experiment,all,2,5,11.9,2.5,2,3
Comb_Rules_SpecifyExCats_T0_247684,experiment,all,2,5,11.9,2.5,2,3
Comb_Rules_SpecifyEx_T1_247684,model,claude-haiku-4-5-20251001,6,24,57.1,4.0,2,7
Comb_Rules_SpecifyEx_T1_247684,model,claude-haiku-4-5-20251001,4,11,26.2,2.75,2,5
Comb_Rules_SpecifyEx_T1_247684,model,claude-opus-4-6,4,9,21.4,2.25,2,3
Comb_Rules_SpecifyEx_T1_247684,model,claude-opus-4-6,7,18,42.9,2.57,2,3
Comb_Rules_SpecifyEx_T1_247684,model,claude-sonnet-4-6,5,10,23.8,2.0,2,2
Comb_Rules_SpecifyEx_T1_247684,model,claude-sonnet-4-6,1,2,4.8,2.0,2,2
Comb_Rules_SpecifyEx_T1_247684,model,gpt-5.4-2026-03-05,6,30,71.4,5.0,2,11
Comb_Rules_SpecifyEx_T1_247684,model,gpt-5.4-2026-03-05,6,30,71.4,5.0,2,11
Comb_Rules_SpecifyEx_T1_247684,model,gpt-5.4-mini-2026-03-17,7,29,69.0,4.14,2,8
Comb_Rules_SpecifyEx_T1_247684,model,gpt-5.4-mini-2026-03-17,7,29,69.0,4.14,2,8
Comb_Rules_SpecifyEx_T1_247684,model,gpt-5.4-nano-2026-03-17,4,18,42.9,4.5,2,7
Comb_Rules_SpecifyEx_T1_247684,model,gpt-5.4-nano-2026-03-17,4,18,42.9,4.5,2,7
Comb_Rules_SpecifyEx_T1_247684,model,models/gemini-2.5-flash,7,19,45.2,2.71,2,5
Comb_Rules_SpecifyEx_T1_247684,model,models/gemini-2.5-flash,7,19,45.2,2.71,2,5
Comb_Rules_SpecifyEx_T1_247684,model,models/gemini-2.5-flash-lite,5,15,35.7,3.0,2,4
Comb_Rules_SpecifyEx_T1_247684,model,models/gemini-2.5-flash-lite,5,15,35.7,3.0,2,4
Comb_Rules_SpecifyEx_T1_247684,model,models/gemini-2.5-pro,9,25,59.5,2.78,2,4
Comb_Rules_SpecifyEx_T1_247684,model,models/gemini-2.5-pro,9,25,59.5,2.78,2,4
